Hotel_Name,Email,City,Area,Zip Code,hotel,location,staff,service,room,internet,breakfast,restaurants,Url
usa_new_york_city_best_western_hospitality_house,usa_new_york_city_best_western_hospitality_house@gmail.com,New_York_City,Union_Square,10399,-0.05,0.8,0.53,0.38,0.18,0,0.4,0.14,https://www.bestwestern.com/en_US.html
usa_new_york_city_w_new_york_union_square,usa_new_york_city_w_new_york_union_square@gmail.com,New_York_City,Crown_Heights,10869,-0.56,0.49,0.15,-0.19,0,-0.06,-0.06,0.47,http://www.wnewyorkunionsquare.com
usa_new_york_city_beekman_tower_hotel,usa_new_york_city_beekman_tower_hotel@gmail.com,New_York_City,Wall_Street,10417,0.51,0.18,0.74,0.81,0.56,0.26,0,0.04,https://www.bridgestreet.com/properties/New-York/Beekman-Tower
usa_san_francisco_travelodge_central_san_francisco_hotel,usa_san_francisco_travelodge_central_san_francisco_hotel@gmail.com,San_Francisco,Chinatown,94114,0.48,0.42,-0.04,0.18,0.45,-0.7,-0.03,0.69,https://www.expedia.com/South-Of-Market-Hotels-Travelodge-Central-San-Francisco.h40682-p28.Hotel-Reviews
usa_new_york_city_washington_square_hotel,usa_new_york_city_washington_square_hotel@gmail.com,New_York_City,Midtown_West,10205,0.08,0.89,0.7,-0.44,0.11,0.06,0.03,0.39,http://washingtonsquarehotel.com
usa_new_york_city_w_new_york_times_square,usa_new_york_city_w_new_york_times_square@gmail.com,New_York_City,Central_New_York_City,11060,-0.02,0.3,0.65,-0.01,-0.09,0.07,0.02,0.13,https://www.booking.com/hotel/us/w-new-york-times-square.html
usa_new_york_city_best_western_convention_center_hotel,usa_new_york_city_best_western_convention_center_hotel@gmail.com,New_York_City,Upper_West_Side,10664,0.28,0.28,0.84,0.42,0.04,0,0.06,-0.02,https://www.tripadvisor.com/ShowUserReviews-g60763-d235228-r320551990-Magnuson_Convention_Center_Hotel-New_York_City_New_York.html
usa_san_francisco_edwardian_san_francisco_hotel,usa_san_francisco_edwardian_san_francisco_hotel@gmail.com,San_Francisco,Marina_District,94166,0,-0.01,0.65,0.39,-0.15,0,-0.05,0.8,http://www.edwardiansf.com
usa_san_francisco_town_house,usa_san_francisco_town_house@gmail.com,San_Francisco,Fisherman's_Wharf,94139,0.3,0.82,0,0,0.53,0,0.14,-0.15,http://www.sftownhousemotel.com
usa_new_york_city_belleclaire_hotel,usa_new_york_city_belleclaire_hotel@gmail.com,New_York_City,Newark,10931,0.26,0.81,0.65,0.24,0.59,0.8,0.23,0.44,https://www.hotelbelleclaire.com
usa_san_francisco_executive_hotel_vintage_court,usa_san_francisco_executive_hotel_vintage_court@gmail.com,San_Francisco,Financial_District,94144,0.01,0.88,0.13,-0.09,0.68,0.28,0.39,0.35,https://www.expedia.com/San-Francisco-Hotels-Executive-Hotel-Vintage-Court.h5338.Hotel-Information?chkin=12%2F3%2F2017&chkout=12%2F4%2F2017&rm1=a2&regionId=178305&hwrqCacheKey=baced779-e42d-4f61-89f7-2949e61f4f50HWRQ1511719639794&vip=false&c=bfb0e275-dd6e-4433-8b7a-c14b7b0f86ea&mctc=10&exp_dp=99.78&exp_ts=1511719642024&exp_curr=USD&swpToggleOn=false&exp_pg=HSR
usa_new_york_city_candlewood_suites_new_york_city_times_square,usa_new_york_city_candlewood_suites_new_york_city_times_square@gmail.com,New_York_City,Tribeca,10990,0.08,0.49,0.64,-0.22,0.25,0,0,0.45,https://www.hrs.de/hotels/de/usa/new-york-city/candlewood-suites-new-york-city-times-square-418157.html
usa_new_york_city_woogo_central_park,usa_new_york_city_woogo_central_park@gmail.com,New_York_City,SoHo,10798,0.01,0.85,0.09,-0.14,0.04,0,0.45,0.63,https://www.tripadvisor.com/Hotel_Review-g60763-d307945-Reviews-Woogo_Central_Park-New_York_City_New_York.html
usa_new_york_city_vincci_avalon,usa_new_york_city_vincci_avalon@gmail.com,New_York_City,Gowanus,10006,0.13,0.85,0.35,0.25,0.56,0.25,0.81,0.14,http://www.avalonhotelnyc.com
usa_new_york_city_bedford_hotel,usa_new_york_city_bedford_hotel@gmail.com,New_York_City,Central_New_York_City,11037,0.26,0.88,0.28,0.72,0.38,0,0.01,0.01,https://www.tripadvisor.com/ShowTopic-g60763-i5-k116744-Bedford_Hotel-New_York_City_New_York.html
usa_new_york_city_best_western_seaport_inn_downtown,usa_new_york_city_best_western_seaport_inn_downtown@gmail.com,New_York_City,Financial_District,10438,0.64,0.54,-0.25,-0.06,0.47,0,0.21,0.3,https://www.expedia.com/New-York-Hotels-Seaport-Inn.h5097.Hotel-Information?regionId=178293&langid=1033&semcid=US.UB.GOOGLE.SEARCH.HOTEL&kword=New_York_hotels_dsa!e.ZzZz.4820000002556.0.227286118460..new_york_hotels_dsa&semdtl=a1386668348.b123848199308.d1227286118460.e1c.f11o1.g1dsa-157008578915.h1b.i1.j19030933.k1.l1g.m1.n1&gclid=Cj0KCQiA6enQBRDUARIsAGs1YQjg8l98PP50s4V-Bpp-E6xfmwq2SaL0pSCFGu88aIDUDz1FTV166f0aAp3XEALw_wcB
usa_new_york_city_carvi_hotel_new_york,usa_new_york_city_carvi_hotel_new_york@gmail.com,New_York_City,Central_Park,10059,-0.12,0.18,0.9,0,0.33,0,0,0,http://www.carvihotel.com
usa_new_york_city_travel_inn_hotel_new_york,usa_new_york_city_travel_inn_hotel_new_york@gmail.com,New_York_City,Union_Square,10024,0.57,0.27,0.28,0.82,0.02,0.06,0.03,0.61,https://www.tripadvisor.com/Hotel_Review-g60763-d93622-Reviews-Travel_Inn_Hotel_New_York-New_York_City_New_York.html
usa_new_york_city_waldorf_towers,usa_new_york_city_waldorf_towers@gmail.com,New_York_City,Madison_Square_Garden,10981,0.26,0.71,0.37,0.78,0.22,0.2,0.14,0.11,http://www.waldorftowersresidences.com
usa_san_francisco_cow_hollow_motor_inn_and_suites,usa_san_francisco_cow_hollow_motor_inn_and_suites@gmail.com,San_Francisco,Cole_Valley,94145,0.44,0.4,0.86,0.72,0.07,-0.05,0,0.14,https://www.tripadvisor.com/ShowTopic-g60713-i30-k3939503-Cow_Hollow_Motor_Inn_and_Suites-San_Francisco_California.html
usa_new_york_city_thirty_thirty_hotel,usa_new_york_city_thirty_thirty_hotel@gmail.com,New_York_City,Flushing_Chinatown,10428,-0.12,0.69,0.65,-0.16,0.07,-0.9,-0.2,0.14,https://www.tripadvisor.com/ShowTopic-g60763-i5-k2568139-Hotel_Thirty_Thirty-New_York_City_New_York.html
usa_san_francisco_encore_express_hotel,usa_san_francisco_encore_express_hotel@gmail.com,San_Francisco,Financial_District,94064,-0.12,0.51,0.25,0,0,0,0,0,https://www.hostelscentral.com/en/hostels/usa/san-francisco/encore-express-hotel
usa_san_francisco_geary_parkway_motel,usa_san_francisco_geary_parkway_motel@gmail.com,San_Francisco,Chinatown,94159,-0.14,0.56,-0.27,0.7,0.05,0,-0.03,0.2,http://gearyparkwaymotel.com
usa_new_york_city_carlton_arms,usa_new_york_city_carlton_arms@gmail.com,New_York_City,East_Village,10023,-0.28,0.59,0.63,0.05,0,0,0.22,0.37,http://carltonarms.com
usa_new_york_city_the_westin_new_york_at_times_square,usa_new_york_city_the_westin_new_york_at_times_square@gmail.com,New_York_City,East_Harlem,10515,0.01,0.68,0.57,0.86,0,0.09,0.44,0.22,https://www.westinny.com
usa_san_francisco_travelodge_golden_gate_san_francisco,usa_san_francisco_travelodge_golden_gate_san_francisco@gmail.com,San_Francisco,Marina_District,94067,0.06,0.9,0.89,0.9,0.04,0,-0.03,0.23,https://www.trivago.com/san-francisco-34308/hotel/travelodge-golden-gate-8010
usa_new_york_city_wall_street_inn,usa_new_york_city_wall_street_inn@gmail.com,New_York_City,Central_New_York_City,10256,0.13,0.27,0.74,0.06,0.68,0,0.12,-0.04,http://thewallstreetinn.com
usa_san_francisco_touchstone_hotel,usa_san_francisco_touchstone_hotel@gmail.com,San_Francisco,Russian_Hill,94148,0.67,0.89,0.12,0.7,0.81,0,-0.1,0,http://www.thetouchstone.com
usa_san_francisco_coventry_motor_inn,usa_san_francisco_coventry_motor_inn@gmail.com,San_Francisco,Financial_District,94026,0.46,0.72,0.59,0.62,0.38,0.07,0.02,0.11,http://www.coventrymotorinn.com
usa_new_york_city_buckingham_hotel,usa_new_york_city_buckingham_hotel@gmail.com,New_York_City,Long_Island_City,10166,0.24,0.89,0.88,0.35,-0.07,0.08,0,0.75,https://www.tripadvisor.com/ShowTopic-g60763-i5-k583918-Buckingham_hotel-New_York_City_New_York.html
usa_new_york_city_thompson_les,usa_new_york_city_thompson_les@gmail.com,New_York_City,West_Bronx,10715,-0.13,0.56,0.61,0.26,0.05,0,0.37,0.06,https://www.sixtyhotels.com/lower-east-side/
usa_new_york_city_tudor_hotel_at_the_united_nations,usa_new_york_city_tudor_hotel_at_the_united_nations@gmail.com,New_York_City,Greenwich_Village,10114,-0.4,0.84,0.7,0.43,-0.02,0.04,0.03,0.66,https://www.tripadvisor.com/ShowTopic-g60763-i5-k1190241-The_Tudor_Hotel_at_The_United_Nations-New_York_City_New_York.html
usa_new_york_city_wellington_hotel,usa_new_york_city_wellington_hotel@gmail.com,New_York_City,Midtown_West,10804,-0.02,0.31,0.56,-0.16,0,-0.05,-0.01,0.18,https://www.wellingtonhotel.com
usa_san_francisco_twin_peaks_hotel,usa_san_francisco_twin_peaks_hotel@gmail.com,San_Francisco,Marina_District,94061,0,0.45,0,0,-0.03,0,0,0.9,https://www.booking.com/hotel/us/twin-peaks.html
usa_new_york_city_broadway_plaza_hotel,usa_new_york_city_broadway_plaza_hotel@gmail.com,New_York_City,Gowanus,10575,-0.09,-0.11,0.32,0.62,0.08,0,0.03,0.07,https://www.broadwayplazahotel.com
usa_new_york_city_astor_on_the_park,usa_new_york_city_astor_on_the_park@gmail.com,New_York_City,Gowanus,10260,-0.02,0.82,-0.56,0.44,-0.06,-0.1,0.01,0.04,http://astoronpark.com
usa_new_york_city_trump_international_hotel_and_tower,usa_new_york_city_trump_international_hotel_and_tower@gmail.com,New_York_City,Central_New_York_City,10554,0.3,0.34,0.13,0.74,0.01,0,0.02,0.49,https://www.trumphotels.com/central-park
usa_san_francisco_edward_ii_inn_and_suites,usa_san_francisco_edward_ii_inn_and_suites@gmail.com,San_Francisco,Theater_District,94028,0.19,0.11,0.63,0,0.46,0,0.44,0.82,https://www.logitravel.it/hotel/hotel-edward-ii-inn-and-suites-san-francisco-14151315.html
usa_san_francisco_villa_florence_hotel_union_square_a_larkspur_collection_hotel,usa_san_francisco_villa_florence_hotel_union_square_a_larkspur_collection_hotel@gmail.com,San_Francisco,Russian_Hill,94074,0.69,0.65,0.41,0.8,-0.02,0.01,0.53,0.49,https://www.villaflorence.com
usa_new_york_city_west_57th_street_by_hilton_club,usa_new_york_city_west_57th_street_by_hilton_club@gmail.com,New_York_City,Newport,10682,0.23,0.38,0.52,-0.33,0.06,0.15,0.07,0.2,http://www3.hilton.com/en/hotels/new-york/west-57th-street-by-hilton-club-NYCWEGV/index.html
usa_new_york_city_best_western_bowery_hanbee_hotel,usa_new_york_city_best_western_bowery_hanbee_hotel@gmail.com,New_York_City,East_Harlem,11061,0,0.85,0.65,0.69,-0.1,0.45,-0.25,0.04,http://www.bw-boweryhanbeehotel.com/
usa_new_york_city_wyndham_garden_hotel_times_square_south,usa_new_york_city_wyndham_garden_hotel_times_square_south@gmail.com,New_York_City,Long_Island_City,10276,0.23,0.79,0.12,0.85,0.2,0.32,0.3,0.24,https://www.wyndhamhotels.com/wyndham-garden
usa_new_york_city_washington_jefferson_hotel,usa_new_york_city_washington_jefferson_hotel@gmail.com,New_York_City,Greenwich_Village,10122,-0.01,0.4,0.87,0.86,0.03,-0.05,0,0.69,https://www.wjhotel.com
usa_new_york_city_wolcott_hotel,usa_new_york_city_wolcott_hotel@gmail.com,New_York_City,Upper_East_Side,10302,0.56,0.72,-0.35,0.81,-0.37,0,-0.03,0.62,https://www.wolcott.com
usa_new_york_city_w_new_york_the_court,usa_new_york_city_w_new_york_the_court@gmail.com,New_York_City,East_Harlem,11035,-0.01,0.57,0.19,0.49,-0.09,0.13,0.08,-0.01,https://www.tripadvisor.com/Hotel_Review-g60763-d194238-Reviews-The_Court_A_St_Giles_Hotel-New_York_City_New_York.html
usa_new_york_city_bentley_hotel,usa_new_york_city_bentley_hotel@gmail.com,New_York_City,Gowanus,10247,0.65,0.23,-0.1,-0.2,0.11,-0.25,0.59,0.02,https://bentleyhotelnyc.com
usa_illinois_chicago_chicago_marriott_o_hare,usa_illinois_chicago_chicago_marriott_o_hare@gmail.com,Chicago,Uptown,60623,0.08,0.02,0.89,-0.15,0.39,-0.34,0.1,0.02,http://www.marriott.com/hotels/travel/chist-chicago-marriott-suites-ohare/
usa_illinois_chicago_amber_inn,usa_illinois_chicago_amber_inn@gmail.com,Chicago,Jefferson_Park,60640,0.62,0.4,0.31,0.79,-0.29,0,0,0,https://www.theamberinn.com
usa_nevada_las_vegas_binion_s_horseshoe_hotel_casino_las_vegas,usa_nevada_las_vegas_binion_s_horseshoe_hotel_casino_las_vegas@gmail.com,Las_Vegas,Fort_Mohave,90046,0.11,0.41,0.79,0.48,0.38,0.17,0.38,0.1,http://www.binions.com
usa_illinois_chicago_chicago_s_essex_inn,usa_illinois_chicago_chicago_s_essex_inn@gmail.com,Chicago,Mount_Greenwood,60628,0.01,0.4,0.68,-0.5,-0.2,0,0,0.13,http://www.essexinn.com
usa_illinois_chicago_best_western_river_north_chicago_downtown_hotel,usa_illinois_chicago_best_western_river_north_chicago_downtown_hotel@gmail.com,Chicago,Austin,60644,0.09,0.03,0.31,0.48,0.19,0,0.24,0.14,https://www.rivernorthhotel.com
usa_nevada_las_vegas_bel_aire_west,usa_nevada_las_vegas_bel_aire_west@gmail.com,Las_Vegas,Bullhead_City,90033,0,0,0.2,0,0,0.9,0,0,http://www.travelweekly.com/Hotels/Las-Vegas/Bel-Aire-West-p3645576
usa_illinois_chicago_affinia_chicago,usa_illinois_chicago_affinia_chicago@gmail.com,Chicago,Lake_View,60657,0.1,0.76,0.87,0.2,-0.05,0,-0.32,0.13,https://www.expedia.com/Chicago-Hotels-Affinia.0-0-d178248--bAffinia.Travel-Guide-Filter-Hotels
usa_illinois_chicago_chicago_lodge,usa_illinois_chicago_chicago_lodge@gmail.com,Chicago,North_Center,60667,-0.45,0.5,-0.65,0.8,0,0,0,0,https://www.yelp.com/biz/the-lodge-chicago-2
usa_nevada_las_vegas_bally_s_las_vegas_hotel_casino,usa_nevada_las_vegas_bally_s_las_vegas_hotel_casino@gmail.com,Las_Vegas,Summerlin,92275,0.09,0.37,-0.05,0.24,0.6,0.03,-0.1,0.15,https://www.caesars.com/ballys-las-vegas
usa_nevada_las_vegas_a_fishers_inn,usa_nevada_las_vegas_a_fishers_inn@gmail.com,Las_Vegas,East_Las_Vegas,89449,-0.04,0,0,0,-0.28,0,0,0,https://www.booking.com/hotel/us/a-fishers-inn-motel.html
usa_nevada_las_vegas_blair_house_suites,usa_nevada_las_vegas_blair_house_suites@gmail.com,Las_Vegas,North_Las_Vegas,89959,0.11,0.1,-0.06,-0.9,-0.03,-0.27,-0.4,0,https://www.ritasuites.com
usa_nevada_las_vegas_alexis_park_resort,usa_nevada_las_vegas_alexis_park_resort@gmail.com,Las_Vegas,Spring_Valley,90231,0.11,0.22,0.26,-0.61,0.09,0.1,0.04,0.15,http://www.alexispark.com
usa_nevada_las_vegas_aztec_inn,usa_nevada_las_vegas_aztec_inn@gmail.com,Las_Vegas,Jean,91839,0,0,0,0,0.9,0,0,0,http://aztecinnlasvegas.com
usa_illinois_chicago_best_western_grant_park_hotel,usa_illinois_chicago_best_western_grant_park_hotel@gmail.com,Chicago,Washington_Park,60667,0.48,0.81,0.44,-0.06,0.39,-0.5,0.01,-0.08,http://www.bwgrantparkhotel.com/#gref
usa_illinois_chicago_ambassador_east_hotel,usa_illinois_chicago_ambassador_east_hotel@gmail.com,Chicago,North_Center,60689,0.6,0.1,0.63,-0.2,0.03,0.6,0.22,0.31,https://ambassadorchicago.com
usa_illinois_chicago_city_suites_hotel,usa_illinois_chicago_city_suites_hotel@gmail.com,Chicago,Uptown,60647,0.54,0.2,0.52,0.37,0.22,-0.1,-0.2,0.48,http://chicagocitysuites.com
usa_nevada_las_vegas_best_western_mccarran_inn,usa_nevada_las_vegas_best_western_mccarran_inn@gmail.com,Las_Vegas,Winchester,92927,0.01,0.05,0.71,-0.05,0.04,0,0.33,0,http://www.bestwesternhotel.vegas
usa_illinois_chicago_avenue_hotel_chicago,usa_illinois_chicago_avenue_hotel_chicago@gmail.com,Chicago,South_Chicago,60650,-0.08,-0.06,0.33,0.64,0.2,0.22,-0.01,0.03,http://news.getaroom.com/the-avenue-hotel-chicago/
usa_nevada_las_vegas_artisan_hotel,usa_nevada_las_vegas_artisan_hotel@gmail.com,Las_Vegas,Boulder_City,90784,-0.36,0.12,-0.12,0.36,0.22,0.36,-0.06,0.45,https://www.artisanhotel.com
usa_illinois_chicago_allerton_hotel,usa_illinois_chicago_allerton_hotel@gmail.com,Chicago,Norwood_Park,60641,0.35,0.72,0.6,0.73,0.17,0.8,0.01,0.03,https://warwickhotels.com/allerton-hotel-chicago/
usa_illinois_chicago_abbott_hotel,usa_illinois_chicago_abbott_hotel@gmail.com,Chicago,Grand_Boulevard,60631,0,0.8,0.5,0,-0.03,0,0,0,https://www.yelp.com/biz/abbott-hotel-chicago
usa_illinois_chicago_belden_stratford_hotel,usa_illinois_chicago_belden_stratford_hotel@gmail.com,Chicago,Grand_Boulevard,60634,-0.05,-0.11,-0.06,-0.61,0.07,0,0.16,0.38,http://www.beldenstratford.com
